Date,ByteSize
2017-04-24,477698
2017-04-25,477780
2017-04-26,484340
2017-04-27,484774
2017-04-28,487330
2017-04-29,486362
2017-04-30,487824
2017-05-01,488131
2017-05-02,486160
2017-05-03,489015
2017-05-04,485158
2017-05-05,487086
2017-05-06,487086
2017-05-07,487086
2017-05-08,488571
2017-05-09,493122
2017-05-10,495097
2017-05-11,494967
2017-05-12,556770
2017-05-13,557842
2017-05-14,560835
2017-05-15,560835
2017-05-16,560835
2017-05-17,560835
2017-05-18,560835
2017-05-19,560835
2017-05-20,560835
2017-05-21,560835
2017-05-22,560835
2017-05-23,561685
2017-05-24,564727
2017-05-25,564727
2017-05-26,565184
2017-05-27,565184
2017-05-28,567457
2017-05-29,567457
2017-05-30,569331
2017-05-31,570194
2017-06-01,562706
2017-06-02,562821
2017-06-03,564783
2017-06-04,564872
2017-06-05,565110
2017-06-06,567162
2017-06-07,567129
2017-06-08,567129
2017-06-09,567129
2017-06-10,567129
2017-06-11,575234
2017-06-12,576133
2017-06-13,576133
2017-06-14,576133
2017-06-15,576133
2017-06-16,576134
2017-06-17,576134
2017-06-18,586174
2017-06-19,586303
2017-06-20,586303
2017-06-21,586303
2017-06-22,586303
2017-06-23,586303
2017-06-24,586303
2017-06-25,586303
2017-06-26,586303
2017-06-27,586303
2017-06-28,441925
2017-06-29,441925
2017-06-30,441925
2017-07-01,441925
2017-07-02,441925
2017-07-04,441925
2017-07-05,441925
2017-07-06,445681
2017-07-07,447835
2017-07-08,450647
2017-07-09,453898
2017-07-10,459833
2017-07-11,463786
2017-07-12,467516
2017-07-13,469829
2017-07-14,472641
2017-07-15,466277
2017-07-16,459273
2017-07-17,463045
2017-07-18,465239
2017-07-19,467010
2017-07-20,460645
2017-07-21,460645
2017-07-22,460645
2017-07-23,461945
2017-07-24,521756
2017-07-25,524540
2017-07-26,523037
2017-07-27,529868
2017-07-28,533563
2017-07-29,534801
2017-07-30,535970
2017-07-31,536011
2017-08-01,539343
2017-08-02,541734
2017-08-03,541724
2017-08-04,541724
2017-08-05,542570
2017-08-06,542570
2017-08-07,542570
2017-08-08,545522
2017-08-09,547160
2017-08-10,556308
2017-08-11,554285
2017-08-12,554285
2017-08-13,554285
2017-08-14,554285
2017-08-15,554285
2017-08-16,554285
2017-08-17,554285
2017-08-19,555433
2017-08-20,558708
2017-08-21,558735
2017-08-22,562081
2017-08-23,564477
2017-08-24,565462
2017-08-25,567006
2017-08-26,567999
2017-08-27,568244
2017-08-28,570779
2017-08-29,573727
2017-08-30,577115
2017-08-31,577590
2017-09-01,563480
2017-09-02,564226
2017-09-03,564523
2017-09-04,565892
2017-09-05,566470
2017-09-06,566470
2017-09-07,566470
2017-09-08,566470
2017-09-09,566470
2017-09-10,566470
2017-09-11,566470
2017-09-12,566470
2017-09-13,566470
2017-09-14,566470
2017-09-16,566470
2017-09-21,566470
2017-09-24,566470
2017-09-25,566470
2017-09-26,566470
2017-09-27,566470
2017-09-28,566470
2017-09-29,566470
2017-09-30,566470
2017-10-01,566470
2017-10-02,566470
2017-10-03,566470
2017-10-04,566470
2017-10-05,566470
2017-10-06,566470
2017-10-07,566470
2017-10-08,566470
2017-10-09,566470
2017-10-14,566470
2017-10-15,566470
2017-10-16,566470
2017-10-17,566470
2017-10-18,566470
2017-10-19,566470
2017-10-20,566470
2017-10-21,566470
2017-10-22,566470
2017-10-23,566470
2017-10-25,566470
2017-10-26,566470
2017-10-27,566470
2017-10-28,566470
2017-10-30,566470
2017-10-31,566470
2017-11-01,566470
2017-11-02,566470
2017-11-03,566470
2017-11-04,566470
2017-11-05,566470
2017-11-06,566470
2017-11-07,566470
2017-11-08,566470
2017-11-09,566470
2017-11-10,566470
2017-11-11,566470
2017-11-12,566470
2017-11-13,566470
2017-11-14,566470
2017-11-15,566470
2017-11-16,566470
2017-11-17,566470
2017-11-18,566470
2017-11-19,566470
2017-11-21,566470
2017-11-22,566470
2017-11-23,566470
2017-11-25,566470
2017-11-26,566470
2017-11-27,566470
2017-11-28,566470
2017-11-29,566470
2017-11-30,566470
2017-12-01,566470
2017-12-02,566470
2017-12-05,566470
2017-12-07,566470
2017-12-08,566470
2018-01-02,4664
2018-01-04,12179
2018-01-05,12179
2018-01-06,12179
2018-01-07,12179
2018-01-08,12179
2018-01-09,12179
2018-01-10,13706
2018-01-11,13706
2018-01-12,10475
2018-01-13,13121
2018-01-14,18018
2018-01-15,6309
2018-01-16,9929
2018-01-17,12792
2018-01-18,15472
2018-01-19,7715
2018-01-20,11852
2018-01-21,12437
2018-01-22,12437
2018-01-23,12437
2018-01-25,20952
2018-01-26,20952
2018-01-27,20952
2018-01-28,20952
2018-01-29,21903
2018-01-30,22072
2018-01-31,22072
2018-02-01,22072
2018-02-02,22072
2018-02-03,22072
2018-02-04,22072
2018-02-05,22072
2018-02-06,22072
2018-02-07,22072
2018-02-08,22072
2018-02-09,22072
2018-02-10,22072
2018-02-11,22072
2018-02-12,22072
2018-02-13,22072
2018-02-14,22072
2018-02-15,22072
2018-02-16,22072
2018-02-18,22072
2018-02-19,22072
2018-02-20,22072
2018-02-21,22072
2018-02-22,22072
2018-02-23,22072
2018-02-24,22072
2018-02-25,22072
2018-02-26,22072
2018-02-27,22072
2018-02-28,22072
2018-03-01,22072
2018-03-02,22072
2018-03-03,22072
2018-03-04,22072
2018-03-05,22072
2018-03-06,22072
2018-03-07,22072
2018-03-08,22072
2018-03-09,22072
2018-03-10,22072
2018-03-11,22072
2018-03-12,22072
2018-03-13,22072
2018-03-14,22072
2018-03-15,22072
2018-03-16,22072
2018-03-17,22072
2018-03-18,22072
2018-03-19,22072
2018-03-20,22072
2018-03-21,22072
2018-03-22,22072
2018-03-23,13256
2018-03-24,14923
2018-03-25,14923
2018-03-26,14923
2018-03-27,14923
2018-03-28,14923
2018-03-29,14923
2018-03-30,14923
2018-03-31,14923
2018-04-01,14923
2018-04-02,14923
2018-04-03,14923
2018-04-04,14923
2018-04-05,14923
2018-04-06,14923
2018-04-07,14923
2018-04-08,14923
2018-04-09,14923
2018-04-10,14923
2018-04-11,14923
2018-04-12,14923
2018-04-13,14923
2018-04-14,14923
2018-04-15,14923
2018-04-16,14923
2018-04-17,14923
2018-04-18,14923
2018-04-19,14923
2018-04-20,14923
2018-04-21,14923
2018-04-22,14923
2018-04-23,14923
2018-04-24,14923
2018-04-25,14923
2018-04-26,14923
2018-04-27,14923
2018-04-28,14923
2018-04-29,14923
2018-04-30,14923
2018-05-01,14923
2018-05-02,14923
2018-05-03,3760
2018-05-04,6494
2018-05-05,6494
2018-05-06,6494
2018-05-07,6494
2018-05-08,11593
2018-05-09,11593
2018-05-10,14272
2018-05-11,14035
2018-05-12,13786
2018-05-13,18064
2018-05-14,9519
2018-05-15,9785
2018-05-16,9785
2018-05-17,9785
2018-05-18,12471
2018-05-19,13436
2018-05-20,10210
2018-05-21,10581
2018-05-22,14316
